!
43243
dfdsf
fdsfdsfffffffffffffffffffffffffffffffffffffffffffffffddsfdsfdsdsfsdfdsfdssdfsdfsfd
fdsf
sfddsf
!

ind	x       y        z
595 212.2790 -233.5517 570.5406
596 201.9720 -237.7421 574.7310
597 177.7402 -246.3994 583.3883
598 164.1909 -250.6495 587.6384
599 149.8443 -254.7358 591.7246
600 119.2022 -262.0988 599.0877
601 103.0922 -265.2564 602.2453
602 86.5556 -268.0117 605.0006
603 52.4947 -272.1668 609.1558
604 35.1133 -273.5074 610.4963
605 17.5917 -274.3274 611.3163
606 -17.5917 -274.3274 611.3163
607 -35.1133 -273.5074 610.4963
608 -52.4947 -272.1668 609.1558
609 -86.5557 -268.0117 605.0006
610 -103.0922 -265.2564 602.2454
611 -119.2022 -262.0988 599.0878
612 -149.8443 -254.7357 591.7246
613 -164.1909 -250.6495 587.6384
614 -177.7402 -246.3994 583.3882
615 -201.9720 -237.7421 574.7310
616 -212.2791 -233.5517 570.5406
617 -220.9585 -229.6894 566.6783
618 -293.6839 -202.6575 492.6391
619 -288.4345 -200.4855 505.6746
620 -282.3304 -198.1113 519.2675
621 -306.3130 -189.6295 481.9994
622 -313.9881 -174.2811 483.2929
623 -320.9441 -158.4040 484.6542
624 -282.3569 -182.1781 535.1215
625 -288.6463 -167.8818 537.6438
626 -294.3985 -152.9369 540.2184
627 -321.9189 -141.1197 499.0075
628 -315.4672 -139.9386 513.1964
629 -307.9803 -138.6516 527.9806
630 -332.7180 -125.2498 487.3579
631 -337.5341 -108.0727 488.6089
632 -341.6277 -90.5667 489.7450
633 -304.2646 -121.3658 545.1414
634 -308.3543 -104.8698 547.3450
635 -311.8584 -87.9858 549.3115
636 -339.1443 -72.3970 504.6823
637 -332.0571 -71.8850 519.7614
638 -323.8790 -71.3214 535.3911
639 -347.6187 -54.7831 491.5349
640 -349.5031 -36.6144 492.1339
641 -350.6382 -18.3349 492.5080
642 -317.0392 -53.3107 552.3487
643 -318.6845 -35.6487 553.3475
644 -319.6815 -17.8568 553.9651
645 -344.9975 0.0000 506.9593
646 -337.7252 0.0000 522.3652
647 -329.3489 0.0000 538.2918
648 -350.6382 18.3349 492.5080
649 -349.5031 36.6144 492.1339
650 -347.6188 54.7831 491.5349
651 -319.6815 17.8568 553.9651
652 -318.6845 35.6487 553.3475
653 -317.0392 53.3108 552.3488
654 -339.1443 72.3970 504.6823
655 -332.0571 71.8850 519.7614
656 -323.8790 71.3214 535.3911
657 -341.6277 90.5667 489.7449
658 -337.5341 108.0727 488.6089
659 -332.7180 125.2498 487.3579
660 -311.8585 87.9858 549.3114
661 -308.3543 104.8698 547.3450
662 -304.2647 121.3658 545.1413
663 -321.9189 141.1197 499.0075
664 -315.4671 139.9386 513.1964
665 -307.9802 138.6516 527.9805
666 -320.9441 158.4040 484.6542
667 -313.9880 174.2811 483.2930
668 -306.3130 189.6295 481.9994
669 -294.3985 152.9369 540.2184
670 -288.6462 167.8818 537.6438
671 -282.3569 182.1781 535.1215
672 -293.6839 202.6575 492.6391
673 -288.4345 200.4855 505.6746
674 -282.3304 198.1113 519.2676
675 -268.3158 -244.8705 478.5836
676 -278.9203 -232.0567 479.0755
677 -288.7845 -218.5566 479.8397
678 -251.5296 -231.7456 527.7846
679 -260.2035 -220.5712 528.9262
680 -268.1765 -208.5680 530.6340
681 -251.5296 -190.7957 568.7345
682 -260.2034 -191.9373 557.5602
683 -268.1764 -193.6451 545.5569
684 -269.9630 -134.9993 583.4230
685 -280.5924 -135.5265 570.5501
686 -290.4716 -136.3461 556.9803
687 -282.6001 -69.7439 594.2828
688 -294.1011 -69.9672 580.5247
689 -304.8230 -70.3178 566.0817
690 -287.1391 0.0000 598.2939
691 -298.8914 0.0000 584.2628
692 -309.8537 0.0000 569.5431
693 -282.6001 69.7440 594.2828
694 -294.1010 69.9672 580.5246
695 -304.8230 70.3178 566.0815
696 -269.9630 134.9993 583.4230
697 -280.5924 135.5265 570.5501
698 -290.4717 136.3461 556.9803
699 -251.5297 190.7957 568.7345
700 -260.2035 191.9372 557.5601
701 -268.1764 193.6451 545.5569
702 -251.5296 231.7456 527.7846
703 -260.2034 220.5712 528.9262
704 -268.1764 208.5680 530.6340
705 -268.3159 244.8705 478.5836
706 -278.9203 232.0567 479.0756
707 -288.7845 218.5566 479.8397
708 -202.6575 293.6839 492.6391
709 -200.4855 288.4345 505.6746
710 -198.1113 282.3304 519.2675
711 -189.6295 306.3130 481.9994
712 -174.2811 313.9881 483.2929
713 -158.4040 320.9441 484.6542
714 -182.1781 282.3569 535.1215
715 -167.8818 288.6463 537.6438
716 -152.9369 294.3985 540.2184
717 -141.1197 321.9189 499.0075
718 -139.9386 315.4672 513.1964
719 -138.6517 307.9803 527.9805
720 -125.2498 332.7180 487.3579
721 -108.0727 337.5341 488.6089
722 -90.5667 341.6277 489.7450
723 -121.3658 304.2647 545.1414
724 -104.8698 308.3543 547.3450
725 -87.9858 311.8584 549.3115
726 -72.3970 339.1443 504.6823
727 -71.8850 332.0571 519.7614
728 -71.3214 323.8790 535.3911
729 -54.7831 347.6187 491.5349
730 -36.6144 349.5031 492.1339
731 -18.3349 350.6382 492.5080
732 -53.3107 317.0392 552.3487
733 -35.6487 318.6845 553.3475
734 -17.8568 319.6815 553.9651
735 0.0000 344.9975 506.9593
736 0.0000 337.7252 522.3652
737 0.0000 329.3489 538.2918
738 18.3349 350.6382 492.5080
